ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,AQI_Category
2017-07-09,259.3418123250132,46.38931278020989,220.52313693892324,259.3418123250132,259.3418123250132,-123.52596147177806,-123.52596147177806,-123.52596147177806,-3.33235499466029,-3.33235499466029,-3.33235499466029,-120.19360647711775,-120.19360647711775,-120.19360647711775,0.0,0.0,0.0,135.81585085323516,Moderate
2017-07-10,259.1952217142094,47.05962462723253,229.41442404368442,259.1952217142094,259.1952217142094,-127.74164166124899,-127.74164166124899,-127.74164166124899,-6.136635007698001,-6.136635007698001,-6.136635007698001,-121.605006653551,-121.605006653551,-121.605006653551,0.0,0.0,0.0,131.45358005296043,Moderate
2017-07-11,259.0486311034055,41.16421630259295,221.23299800120947,259.0486311034055,259.0486311034055,-126.11442444846344,-126.11442444846344,-126.11442444846344,-3.2722346784590868,-3.2722346784590868,-3.2722346784590868,-122.84218977000435,-122.84218977000435,-122.84218977000435,0.0,0.0,0.0,132.93420665494207,Moderate
2017-07-12,258.90204049260166,52.42813425082358,221.11618413945502,258.90204049260166,258.90204049260166,-122.88201263981902,-122.88201263981902,-122.88201263981902,1.0398185295885216,1.0398185295885216,1.0398185295885216,-123.92183116940754,-123.92183116940754,-123.92183116940754,0.0,0.0,0.0,136.02002785278262,Moderate
2017-07-13,258.75544988179786,46.99175261247641,222.98578074161063,258.75544988179786,258.75544988179786,-121.00068468771858,-121.00068468771858,-121.00068468771858,3.8619801319988767,3.8619801319988767,3.8619801319988767,-124.86266481971745,-124.86266481971745,-124.86266481971745,0.0,0.0,0.0,137.75476519407928,Moderate
2017-07-14,258.608859270994,46.86498098789069,226.8348168257577,258.608859270994,258.608859270994,-119.20226424210685,-119.20226424210685,-119.20226424210685,6.482667969734015,6.482667969734015,6.482667969734015,-125.68493221184087,-125.68493221184087,-125.68493221184087,0.0,0.0,0.0,139.40659502888715,Moderate
2017-07-15,258.4622686601901,41.42762281457628,220.41190820029297,258.4622686601901,258.4622686601901,-125.05303960234804,-125.05303960234804,-125.05303960234804,1.3567580495076674,1.3567580495076674,1.3567580495076674,-126.40979765185571,-126.40979765185571,-126.40979765185571,0.0,0.0,0.0,133.40922905784205,Moderate
2017-07-16,258.3156780493863,37.5635815681609,222.65609822720938,258.3156780493863,258.3156780493863,-130.391100550769,-130.391100550769,-130.391100550769,-3.3323549946611424,-3.3323549946611424,-3.3323549946611424,-127.05874555610784,-127.05874555610784,-127.05874555610784,0.0,0.0,0.0,127.92457749861728,Moderate
2017-07-17,258.16908743858244,32.945752166759114,210.20144525188843,258.16908743858244,258.16908743858244,-133.78961077914062,-133.78961077914062,-133.78961077914062,-6.1366350077026866,-6.1366350077026866,-6.1366350077026866,-127.65297577143792,-127.65297577143792,-127.65297577143792,0.0,0.0,0.0,124.37947665944182,Moderate
2017-07-18,258.0224968277786,43.68767003800156,210.44727543164325,258.0224968277786,258.0224968277786,-131.48504761085312,-131.48504761085312,-131.48504761085312,-3.2722346784650904,-3.2722346784650904,-3.2722346784650904,-128.212812932388,-128.212812932388,-128.212812932388,0.0,0.0,0.0,126.53744921692547,Moderate
